"ccode","country","year","onset","warl","gdpenl","lpopl1","lmtnest","ncontig","Oil","nwstate","instab","polity2l","ethfrac","relfrac"
680,"YEMEN PEOP. REP.",1990,0,0,4.25400018692017,7.78239011764526,3.33932209014893,0,1,0,0,-7,0.172264218330383,0.0950000286102295
690,"KUWAIT",1961,0,0,66.7350006103516,5.77765226364136,0,0,1,1,0,NA,0.184686183929443,0.615000009536743
690,"KUWAIT",1962,0,0,66.7350006103516,5.77765226364136,0,0,1,1,0,NA,0.184686183929443,0.615000009536743
690,"KUWAIT",1963,0,0,58.4010009765625,5.87493085861206,0,0,1,0,NA,NA,0.184686183929443,0.615000009536743
690,"KUWAIT",1964,0,0,53.9010009765625,5.97126197814941,0,0,1,0,0,-8,0.184686183929443,0.615000009536743
690,"KUWAIT",1965,0,0,51.9889984130859,6.06610822677612,0,0,1,0,0,-8,0.184686183929443,0.615000009536743
690,"KUWAIT",1966,0,0,46.5349998474121,6.159095287323,0,0,1,0,0,-9,0.184686183929443,0.615000009536743
690,"KUWAIT",1967,0,0,46.8880004882812,6.25382900238037,0,0,1,0,0,-9,0.184686183929443,0.615000009536743
690,"KUWAIT",1968,0,0,43.4370002746582,6.34913921356201,0,0,1,0,0,-9,0.184686183929443,0.615000009536743
690,"KUWAIT",1969,0,0,43.3660011291504,6.44413137435913,0,0,1,0,0,-9,0.184686183929443,0.615000009536743
690,"KUWAIT",1970,0,0,41.0209999084473,6.53087759017944,0,0,1,0,0,-9,0.184686183929443,0.615000009536743
690,"KUWAIT",1971,0,0,39.2690010070801,6.61204099655151,0,0,1,0,0,-9,0.184686183929443,0.615000009536743
690,"KUWAIT",1972,0,0,39.5229988098145,6.67959928512573,0,0,1,0,0,-8,0.184686183929443,0.615000009536743
690,"KUWAIT",1973,0,0,38.8709983825684,6.7393364906311,0,0,1,0,0,-8,0.184686183929443,0.615000009536743
690,"KUWAIT",1974,0,0,34.9819984436035,6.79570579528809,0,0,1,0,0,-8,0.184686183929443,0.615000009536743
690,"KUWAIT",1975,0,0,29.8649997711182,6.85329914093018,0,0,1,0,0,-8,0.184686183929443,0.615000009536743
690,"KUWAIT",1976,0,0,25.8330001831055,6.9147310256958,0,0,1,0,0,-8,0.184686183929443,0.615000009536743
690,"KUWAIT",1977,0,0,26.451000213623,6.97821378707886,0,0,1,0,0,-10,0.184686183929443,0.615000009536743
690,"KUWAIT",1978,0,0,24.7910003662109,7.04228639602661,0,0,1,0,0,-10,0.184686183929443,0.615000009536743
690,"KUWAIT",1979,0,0,24.9839992523193,7.10496520996094,0,0,1,0,0,-10,0.184686183929443,0.615000009536743
690,"KUWAIT",1980,0,0,26.7549991607666,7.16703796386719,0,0,1,0,0,-10,0.184686183929443,0.615000009536743
690,"KUWAIT",1981,0,0,20.0179996490479,7.22620916366577,0,0,1,0,0,-10,0.184686183929443,0.615000009536743
690,"KUWAIT",1982,0,0,16.3479995727539,7.28000831604004,0,0,1,0,0,-8,0.184686183929443,0.615000009536743
690,"KUWAIT",1983,0,0,14.789999961853,7.32909393310547,0,0,1,0,0,-8,0.184686183929443,0.615000009536743
690,"KUWAIT",1984,0,0,13.4289999008179,7.37337446212769,0,0,1,0,0,-8,0.184686183929443,0.615000009536743
690,"KUWAIT",1985,0,0,13.5670003890991,7.41155624389648,0,0,1,0,0,-8,0.184686183929443,0.615000009536743
690,"KUWAIT",1986,0,0,13.1140003204346,7.4454174041748,0,0,0,0,0,-8,0.184686183929443,0.615000009536743
690,"KUWAIT",1987,0,0,12.9849996566772,7.49052953720093,0,0,0,0,0,-10,0.184686183929443,0.615000009536743
690,"KUWAIT",1988,0,0,13.0579996109009,7.53529691696167,0,0,0,0,0,-10,0.184686183929443,0.615000009536743
690,"KUWAIT",1989,0,0,11.2329998016357,7.57967901229858,0,0,0,0,0,-10,0.184686183929443,0.615000009536743
690,"KUWAIT",1990,0,0,9.73299980163574,7.6246190071106,0,0,1,0,0,-10,0.184686183929443,0.615000009536743
690,"KUWAIT",1991,0,0,9.95699977874756,7.66996192932129,0,0,1,0,0,NA,0.184686183929443,0.615000009536743
690,"KUWAIT",1992,0,0,9.64999961853027,7.65016889572144,0,0,1,0,0,-9,0.184686183929443,0.615000009536743
690,"KUWAIT",1993,0,0,NA,7.58578872680664,0,0,1,0,0,-7,0.184686183929443,0.615000009536743
690,"KUWAIT",1994,0,0,NA,7.28687620162964,0,0,1,0,0,-7,0.184686183929443,0.615000009536743
690,"KUWAIT",1995,0,0,NA,7.31521844863892,0,0,1,0,0,-7,0.184686183929443,0.615000009536743
690,"KUWAIT",1996,0,0,NA,7.36833953857422,0,0,1,0,0,-7,0.184686183929443,0.615000009536743
690,"KUWAIT",1997,0,0,NA,7.43661737442017,0,0,1,0,0,-7,0.184686183929443,0.615000009536743
690,"KUWAIT",1998,0,0,NA,7.5005292892456,0,0,1,0,0,-7,0.184686183929443,0.615000009536743
690,"KUWAIT",1999,0,0,NA,7.53315877914429,0,0,1,0,0,-7,0.184686183929443,0.615000009536743
692,"BAHRAIN",1971,0,0,17.0130004882812,5.40267753601074,0,0,1,1,0,-10,0.263893723487854,0.375
692,"BAHRAIN",1972,0,0,17.0130004882812,5.40267753601074,0,0,1,1,0,-10,0.263893723487854,0.375
692,"BAHRAIN",1973,0,0,14.8559999465942,5.43807935714722,0,0,1,0,0,-10,0.263893723487854,0.375
692,"BAHRAIN",1974,0,0,13.8050003051758,5.46806001663208,0,0,1,0,1,-7,0.263893723487854,0.375
692,"BAHRAIN",1975,0,0,13.1120004653931,5.49306154251099,0,0,1,0,1,-7,0.263893723487854,0.375
